iter	Passed	Remaining
0	51	51115
1	51	25877
2	52	17473
3	53	13277
4	53	10739
5	54	9031
6	55	7802
7	55	6875
8	55	6155
9	56	5578
10	56	5106
11	57	4712
12	57	4378
13	58	4092
14	58	3843
15	58	3627
16	59	3436
17	59	3266
18	60	3114
19	60	2976
20	61	2852
21	61	2739
22	62	2639
23	62	2549
24	63	2466
25	63	2388
26	64	2319
27	64	2253
28	65	2191
29	66	2137
30	66	2089
31	67	2040
32	68	1993
33	68	1956
34	69	1918
35	70	1883
36	70	1847
37	71	1812
38	72	1781
39	72	1751
40	73	1722
41	74	1692
42	74	1664
43	75	1636
44	75	1610
45	76	1583
46	76	1558
47	77	1534
48	77	1511
49	78	1488
50	78	1466
51	79	1444
52	79	1424
53	80	1407
54	81	1393
55	81	1377
56	82	1360
57	82	1344
58	83	1331
59	84	1317
60	84	1305
61	85	1293
62	86	1280
63	86	1268
64	87	1257
65	87	1244
66	88	1232
67	89	1220
68	89	1209
69	90	1197
70	90	1185
71	91	1175
72	91	1165
73	92	1155
74	92	1146
75	93	1137
76	94	1130
77	95	1123
78	95	1117
79	96	1109
80	97	1101
81	97	1092
82	97	1081
83	98	1073
84	98	1064
85	99	1055
86	99	1047
87	100	1039
88	100	1031
89	101	1024
90	102	1021
91	102	1014
92	103	1008
93	103	1002
94	104	995
95	104	988
96	105	980
97	105	974
98	106	967
99	106	961
100	107	954
101	107	948
102	108	942
103	108	936
104	109	930
105	109	924
106	110	920
107	110	915
108	111	910
109	111	904
110	112	900
111	112	895
112	113	890
113	113	885
114	114	880
115	115	877
116	115	872
117	116	869
118	116	865
119	117	861
120	118	858
121	118	855
122	119	852
123	119	847
124	120	843
125	120	839
126	121	833
127	121	829
128	122	825
129	122	821
130	123	818
131	123	814
132	124	810
133	125	808
134	125	805
135	126	803
136	127	800
137	127	797
138	128	794
139	129	794
140	129	791
141	130	786
142	130	782
143	131	778
144	131	775
145	131	771
146	132	767
147	132	763
148	133	760
149	133	757
150	134	753
151	134	750
152	134	747
153	135	743
154	135	740
155	136	737
156	136	733
157	137	730
158	137	727
159	137	724
160	138	720
161	138	717
162	139	714
163	139	711
164	140	710
165	140	708
166	141	705
167	141	702
168	142	699
169	142	696
170	143	694
171	143	691
172	144	688
173	144	685
174	144	682
175	145	680
176	145	677
177	146	674
178	146	671
179	146	669
180	147	666
181	147	664
182	148	661
183	148	659
184	149	657
185	149	654
186	150	652
187	150	650
188	151	648
189	151	646
190	152	644
191	152	642
192	152	639
193	153	637
194	153	635
195	154	632
196	154	631
197	155	629
198	156	628
199	156	625
200	157	624
201	157	622
202	158	620
203	158	618
204	158	616
205	159	614
206	159	612
207	160	610
208	160	608
209	161	606
210	161	604
211	162	603
212	162	601
213	163	599
214	163	597
215	164	595
216	164	593
217	165	592
218	165	590
219	165	588
220	166	586
221	166	584
222	167	582
223	167	580
224	168	580
225	168	578
226	169	576
227	169	575
228	170	573
229	170	572
230	171	570
231	171	568
232	172	567
233	172	565
234	173	563
235	173	562
236	174	561
237	174	559
238	175	558
239	175	556
240	176	554
241	176	553
242	176	551
243	177	549
244	177	547
245	178	546
246	178	544
247	179	542
248	179	541
249	179	539
250	180	538
251	180	536
252	181	535
253	181	533
254	182	532
255	182	530
256	182	528
257	183	527
258	183	525
259	184	524
260	184	522
261	185	521
262	185	520
263	186	520
264	187	519
265	187	518
266	188	516
267	188	515
268	189	513
269	189	512
270	189	510
271	190	509
272	190	508
273	191	506
274	191	505
275	192	503
276	192	503
277	193	501
278	193	500
279	194	498
280	194	497
281	194	496
282	195	494
283	195	493
284	196	492
285	196	490
286	196	489
287	197	488
288	197	486
289	198	486
290	199	485
291	199	484
292	200	483
293	201	482
294	201	481
295	202	480
296	202	479
297	203	478
298	203	477
299	204	476
300	204	476
301	205	475
302	205	473
303	206	472
304	206	471
305	207	470
306	207	468
307	208	467
308	208	466
309	209	465
310	209	464
311	209	462
312	210	462
313	211	461
314	211	460
315	212	459
316	212	458
317	213	457
318	213	455
319	213	454
320	214	453
321	214	452
322	215	451
323	215	449
324	216	449
325	216	448
326	217	446
327	217	445
328	218	445
329	218	443
330	219	443
331	219	442
332	220	441
333	220	440
334	221	439
335	221	437
336	222	438
337	223	436
338	223	436
339	224	435
340	224	434
341	225	432
342	225	431
343	225	430
344	226	429
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
350	228	423
351	229	422
352	229	421
353	230	420
354	231	419
355	231	419
356	232	418
357	232	417
358	233	416
359	233	415
360	234	414
361	234	413
362	235	412
363	235	411
364	236	410
365	236	410
366	237	409
367	237	408
368	238	407
369	238	406
370	239	405
371	239	404
372	240	403
373	240	402
374	241	402
375	241	401
376	242	400
377	242	399
378	243	398
379	243	397
380	244	396
381	244	396
382	245	395
383	245	394
384	246	393
385	246	392
386	247	392
387	248	391
388	248	390
389	249	389
390	249	388
391	250	388
392	250	387
393	251	386
394	251	385
395	252	384
396	252	384
397	253	383
398	253	382
399	254	381
400	254	380
401	255	379
402	255	378
403	256	378
404	256	377
405	257	376
406	257	375
407	257	374
408	258	373
409	259	373
410	259	372
411	260	371
412	260	370
413	261	370
414	262	369
415	262	369
416	263	368
417	263	367
418	264	366
419	264	365
420	265	364
421	265	364
422	266	363
423	266	362
424	267	361
425	267	360
426	267	359
427	268	358
428	268	357
429	269	356
430	269	355
431	270	355
432	270	354
433	271	353
434	271	352
435	272	352
436	272	351
437	273	350
438	273	349
439	274	349
440	274	348
441	275	347
442	275	346
443	276	345
444	276	345
445	277	344
446	277	343
447	278	342
448	279	342
449	279	341
450	280	340
451	280	340
452	280	339
453	281	338
454	281	337
455	282	336
456	282	336
457	283	335
458	284	334
459	284	334
460	285	333
461	285	332
462	286	331
463	286	330
464	286	330
465	287	329
466	287	328
467	288	327
468	288	326
469	289	326
470	289	325
471	290	324
472	290	324
473	291	323
474	292	322
475	292	322
476	293	321
477	293	320
478	294	319
479	294	319
480	295	318
481	295	317
482	295	316
483	296	316
484	296	315
485	297	314
486	297	313
487	298	312
488	298	312
489	299	311
490	299	310
491	300	309
492	300	309
493	301	308
494	302	308
495	302	307
496	303	306
497	303	306
498	304	305
499	304	304
500	304	303
501	305	302
502	305	302
503	306	301
504	306	300
505	307	300
506	308	299
507	308	298
508	309	298
509	309	297
510	310	297
511	310	296
512	311	295
513	311	294
514	312	294
515	312	293
516	313	292
517	313	292
518	314	291
519	314	290
520	315	289
521	315	289
522	316	288
523	316	287
524	317	286
525	317	286
526	318	285
527	318	284
528	319	284
529	319	283
530	320	282
531	321	282
532	322	282
533	323	281
534	323	281
535	324	281
536	325	280
537	325	279
538	326	279
539	326	278
540	327	277
541	328	277
542	328	276
543	329	275
544	329	275
545	330	275
546	331	274
547	331	273
548	332	273
549	333	272
550	333	271
551	333	271
552	334	270
553	334	269
554	335	268
555	335	268
556	336	267
557	336	266
558	337	266
