iter	Passed	Remaining
0	51	51172
1	51	25808
2	52	17362
3	52	13123
4	53	10600
5	53	8908
6	54	7691
7	54	6778
8	55	6074
9	55	5507
10	56	5049
11	56	4662
12	57	4340
13	57	4061
14	58	3818
15	58	3606
16	59	3422
17	59	3253
18	60	3105
19	60	2971
20	61	2851
21	61	2742
22	62	2644
23	62	2554
24	63	2469
25	63	2392
26	64	2316
27	64	2250
28	65	2187
29	65	2126
30	66	2072
31	66	2020
32	67	1972
33	67	1926
34	68	1882
35	68	1841
36	69	1801
37	69	1765
38	70	1728
39	70	1695
40	71	1663
41	71	1635
42	72	1607
43	72	1580
44	73	1555
45	73	1531
46	74	1508
47	74	1485
48	75	1464
49	75	1443
50	76	1424
51	77	1404
52	77	1386
53	78	1367
54	78	1349
55	79	1331
56	79	1315
57	80	1299
58	80	1283
59	80	1267
60	81	1255
61	82	1241
62	82	1228
63	83	1214
64	83	1202
65	84	1190
66	84	1178
67	84	1163
68	85	1152
69	85	1142
70	86	1133
71	87	1123
72	87	1113
73	88	1105
74	88	1096
75	89	1085
76	89	1076
77	90	1067
78	90	1057
79	91	1048
80	91	1039
81	92	1030
82	92	1022
83	92	1013
84	93	1003
85	93	995
86	94	987
87	94	980
88	95	972
89	95	965
90	95	957
91	96	950
92	96	943
93	97	936
94	97	930
95	98	923
96	98	916
97	98	910
98	99	903
99	99	897
100	100	891
101	100	883
102	100	877
103	101	872
104	101	866
105	102	860
106	102	854
107	102	849
108	103	844
109	103	839
110	104	834
111	104	829
112	105	824
113	105	820
114	105	815
115	106	810
116	106	805
117	107	800
118	107	795
119	107	791
120	108	786
121	108	782
122	108	776
123	109	772
124	109	768
125	110	763
126	110	759
127	110	754
128	111	750
129	111	746
130	112	743
131	112	739
132	112	736
133	113	732
134	113	729
135	114	725
136	114	722
137	114	718
138	115	714
139	115	711
140	116	707
141	116	704
142	117	701
143	117	698
144	117	694
145	118	691
146	118	689
147	119	686
148	119	683
149	120	680
150	120	677
151	120	674
152	121	672
153	121	669
154	122	666
155	122	664
156	123	661
157	123	658
158	123	655
159	124	653
160	124	650
161	125	648
162	125	645
163	126	642
164	126	640
165	126	637
166	127	635
167	127	633
168	128	630
169	128	628
